BIGRAPA	Depth	Temp	Salinity ox 	Volts	chl
245	246.9	10.844	34.761	4	0	0.0726
246	247.9	10.82	34.76	4.1	0	0.0733
247	248.9	10.811	34.759	4	0	0.0899
248	249.9	10.807	34.759	4	0	0.0763
249	250.9	10.801	34.758	4.1	0	0.0728
250	251.9	10.792	34.757	4.1	0	0.0733
251	252.9	10.779	34.757	4.1	0	0.0742
252	253.9	10.775	34.756	4	0	0.077
253	254.9	10.757	34.755	4.1	0	0.0733
254	255.9	10.75	34.754	4.1	0	0.0744
255	257.0	10.744	34.754	4.1	0	0.0738
256	258.0	10.74	34.754	4	0	0.0767
257	259.0	10.737	34.753	4	0	0.076
258	260.0	10.735	34.753	3.9	0	0.0742
259	261.0	10.733	34.753	4	0	0.0733
260	262.0	10.732	34.753	4	0	0.0733
261	263.0	10.731	34.753	3.8	0	0.0733
262	264.0	10.73	34.752	3.9	0	0.0733
263	265.0	10.726	34.752	3.9	0	0.0733
264	266.0	10.721	34.752	4	0	0.081
265	267.0	10.714	34.751	3.9	0	0.0733
266	268.1	10.696	34.749	3.8	0	0.0763
267	269.1	10.668	34.748	3.9	0	0.0757
268	270.1	10.659	34.748	3.9	0	0.081
269	271.1	10.654	34.747	3.9	0	0.0738
270	272.1	10.643	34.746	3.9	0	0.0728
271	273.1	10.638	34.745	3.9	0	0.0733
272	274.1	10.633	34.745	3.9	0	0.0733
273	275.1	10.631	34.744	3.9	0	0.0733
274	276.1	10.625	34.743	3.9	0	0.0733
275	277.1	10.611	34.741	3.9	0	0.078
276	278.2	10.597	34.741	3.8	0	0.0727
277	279.2	10.582	34.739	3.9	0	0.0733
278	280.2	10.568	34.739	3.8	0	0.0739
279	281.2	10.563	34.739	3.7	0	0.0769
280	282.2	10.563	34.74	3.8	0	0.0733
281	283.2	10.562	34.741	3.9	0	0.0738
282	284.2	10.546	34.74	3.7	0	0.0749
283	285.2	10.53	34.738	3.8	0	0.0733
284	286.2	10.52	34.736	3.8	0	0.0737
285	287.2	10.509	34.735	3.7	0	0.0832
286	288.2	10.505	34.735	3.7	0	0.0729
287	289.3	10.501	34.734	3.8	0	0.0728
288	290.3	10.495	34.734	3.8	0	0.0726
289	291.3	10.489	34.733	3.7	0	0.0797
290	292.3	10.482	34.733	3.8	0	0.0767
291	293.3	10.462	34.73	3.8	0	0.0733
292	294.3	10.404	34.727	3.8	0	0.0763
293	295.3	10.391	34.728	3.8	0	0.0844
294	296.3	10.388	34.727	3.8	0	0.0737
295	297.3	10.367	34.725	3.8	0	0.0733
296	298.3	10.344	34.723	3.7	0	0.0722
297	299.4	10.313	34.719	3.7	0	0.0733
298	300.4	10.302	34.719	3.7	0	0.0733
299	301.4	10.274	34.717	3.7	0	0.0726
300	302.4	10.253	34.717	3.6	0	0.0726
301	303.4	10.243	34.717	3.7	0	0.0788
302	304.4	10.237	34.716	3.6	0	0.0769
303	305.4	10.224	34.715	3.5	0	0.0727
304	306.4	10.211	34.714	3.7	0	0.0755
305	307.4	10.188	34.712	3.7	0	0.0733
306	308.4	10.18	34.712	3.5	0	0.0728
307	309.4	10.181	34.712	3.6	0	0.0728
308	310.5	10.181	34.712	3.5	0	0.0733
309	311.5	10.178	34.711	3.6	0	0.0729
310	312.5	10.161	34.71	3.6	0	0.0746
311	313.5	10.131	34.708	3.6	0	0.0733
312	314.5	10.115	34.708	3.6	0	0.0746
313	315.5	10.104	34.707	3.7	0	0.0733
314	316.5	10.09	34.707	3.6	0	0.0725
315	317.5	10.08	34.706	3.6	0	0.0726
316	318.5	10.073	34.706	3.6	0	0.0733
317	319.5	10.07	34.706	3.6	0	0.0885
318	320.6	10.067	34.705	3.6	0	0.0733
319	321.6	10.061	34.705	3.6	0	0.0726
320	322.6	10.052	34.704	3.6	0	0.0733
321	323.6	10.043	34.703	3.6	0	0.0733
322	324.6	10.021	34.7	3.6	0	0.0717
323	325.6	10.006	34.7	3.6	0	0.0745
324	326.6	9.998	34.7	3.5	0	0.0797
325	327.6	9.983	34.699	3.6	0	0.0726
326	328.6	9.962	34.698	3.7	0	0.0733
327	329.6	9.947	34.696	3.4	0	0.072
328	330.7	9.921	34.695	3.5	0	0.0733
329	331.7	9.909	34.695	3.6	0	0.0727
330	332.7	9.894	34.694	3.7	0	0.0733
331	333.7	9.878	34.692	3.5	0	0.0733
332	334.7	9.858	34.69	3.4	0	0.0728
333	335.7	9.837	34.688	3.5	0	0.0733
334	336.7	9.805	34.686	3.4	0	0.0738
335	337.7	9.791	34.687	3.5	0	0.0708
336	338.7	9.782	34.686	3.5	0	0.072
337	339.7	9.77	34.685	3.4	0	0.0756
338	340.7	9.753	34.684	3.6	0	0.0726
339	341.8	9.738	34.682	3.5	0	0.0733
340	342.8	9.717	34.681	3.5	0	0.0728
341	343.8	9.703	34.681	3.4	0	0.0724
342	344.8	9.703	34.683	3.5	0	0.0728
343	345.8	9.709	34.684	3.5	0	0.0724
344	346.8	9.716	34.686	3.5	0	0.0717
345	347.8	9.724	34.688	3.5	0	0.0775
346	348.8	9.725	34.689	3.4	0	0.0733
347	349.8	9.696	34.688	3.4	0	0.0733
348	350.8	9.662	34.685	3.4	0	0.0784
349	351.9	9.635	34.682	3.5	0	0.0733
350	352.9	9.614	34.681	3.4	0	0.0738
351	353.9	9.6	34.681	3.4	0	0.071
352	354.9	9.597	34.68	3.4	0	0.0726
353	355.9	9.591	34.679	3.4	0	0.0727
354	356.9	9.588	34.679	3.3	0	0.0724
355	357.9	9.575	34.678	3.4	0	0.0727
356	358.9	9.555	34.678	3.4	0	0.0719
357	359.9	9.537	34.676	3.6	0	0.0699
358	360.9	9.531	34.676	3.4	0	0.0733
359	361.9	9.529	34.676	3.5	0	0.0717
360	363.0	9.521	34.674	3.6	0	0.0733
361	364.0	9.506	34.673	3.6	0	0.0733
362	365.0	9.489	34.671	3.5	0	0.0733
363	366.0	9.47	34.67	3.6	0	0.0747
364	367.0	9.442	34.666	3.8	0	0.0717
365	368.0	9.407	34.663	3.8	0	0.073
366	369.0	9.389	34.662	3.7	0	0.0865
367	370.0	9.37	34.661	3.9	0	0.0873
368	371.0	9.361	34.661	4	0	0.071
369	372.0	9.36	34.66	3.9	0	0.0719
370	373.1	9.354	34.659	4	0	0.0733
371	374.1	9.334	34.657	4	0	0.0725
372	375.1	9.308	34.656	3.9	0	0.0754
373	376.1	9.29	34.655	4.1	0	0.0747
374	377.1	9.279	34.655	4.2	0	0.072
375	378.1	9.272	34.655	4.2	0	0.075
376	379.1	9.264	34.655	4.1	0	0.0864
377	380.1	9.254	34.657	4	0	0.0736
378	381.1	9.25	34.657	4	0	0.0733
379	382.1	9.249	34.658	4.1	0	0.0721
380	383.2	9.247	34.657	4.1	0	0.0724
381	384.2	9.245	34.657	4	0	0.0727
382	385.2	9.243	34.657	4.1	0	0.072
383	386.2	9.242	34.657	4.1	0	0.0733
384	387.2	9.242	34.657	4.1	0	0.0733
385	388.2	9.241	34.657	4.1	0	0.0726
386	389.2	9.24	34.656	4.2	0	0.0733
387	390.2	9.226	34.655	4.4	0	0.0733
388	391.2	9.216	34.654	4.3	0	0.0728
389	392.2	9.176	34.648	4.8	0	0.0733
390	393.2	9.109	34.64	5.3	0	0.0717
391	394.3	9.061	34.635	5.9	0	0.0724
392	395.3	9.016	34.634	5.9	0	0.0738
393	396.3	9.012	34.633	5.8	0	0.0722
394	397.3	9.005	34.632	5.9	0	0.0749
395	398.3	8.992	34.632	5.9	0	0.0775
396	399.3	8.98	34.631	6	0	0.071
397	400.3	8.966	34.63	6.1	0	0.0721
398	401.3	8.944	34.63	6.1	0	0.0716
399	402.3	8.94	34.63	6.2	0	0.0733
400	403.3	8.94	34.63	5.9	0	0.0722
401	404.4	8.925	34.629	5.9	0	0.0733
402	405.4	8.9	34.627	6.3	0	0.0724
403	406.4	8.884	34.626	6.4	0	0.0728
404	407.4	8.874	34.625	6.7	0	0.0728
405	408.4	8.852	34.623	6.9	0	0.0738
406	409.4	8.836	34.623	7.1	0	0.0722
407	410.4	8.821	34.622	7	0	0.0758
408	411.4	8.807	34.622	7	0	0.0733
409	412.4	8.804	34.621	7.1	0	0.0779
410	413.4	8.797	34.621	7.1	0	0.0733
411	414.4	8.778	34.619	7.4	0	0.071
412	415.5	8.761	34.618	7.5	0	0.0733
413	416.5	8.749	34.617	7.7	0	0.0737
414	417.5	8.732	34.616	7.7	0	0.0748
415	418.5	8.719	34.616	7.8	0	0.0728
416	419.5	8.706	34.615	7.8	0	0.0767
417	420.5	8.697	34.614	8.1	0	0.0728
418	421.5	8.692	34.614	8	0	0.0716
419	422.5	8.688	34.614	8.1	0	0.0733
420	423.5	8.683	34.613	8.1	0	0.0733
421	424.5	8.672	34.615	7.9	0	0.0733
422	425.6	8.655	34.614	7.9	0	0.0733
423	426.6	8.645	34.615	7.9	0	0.0721
424	427.6	8.644	34.615	7.9	0	0.0796
425	428.6	8.64	34.614	7.9	0	0.0725
426	429.6	8.636	34.614	8.1	0	0.0729
427	430.6	8.627	34.614	8.1	0	0.0929
428	431.6	8.618	34.614	8.1	0	0.0733
429	432.6	8.611	34.614	8	0	0.0763
430	433.6	8.591	34.612	8.1	0	0.0733
431	434.6	8.571	34.612	8.3	0	0.0721
432	435.6	8.567	34.612	8.4	0	0.0779
433	436.7	8.563	34.612	8.6	0	0.0739
434	437.7	8.56	34.611	8.5	0	0.0733
435	438.7	8.553	34.609	9	0	0.0733
436	439.7	8.517	34.605	9.9	0	0.0727
437	440.7	8.493	34.603	10.5	0	0.0738
438	441.7	8.48	34.602	10.6	0	0.0729
439	442.7	8.47	34.6	10.6	0	0.0729
440	443.7	8.446	34.598	10.8	0	0.0765
441	444.7	8.428	34.598	11	0	0.0791
442	445.7	8.408	34.597	11.1	0	0.0733
443	446.8	8.388	34.596	11.5	0	0.0745
444	447.8	8.37	34.594	11.8	0	0.0733
445	448.8	8.361	34.594	11.9	0	0.0733
446	449.8	8.346	34.593	11.8	0	0.0726
447	450.8	8.341	34.593	11.9	0	0.0733
448	451.8	8.336	34.592	12.1	0	0.0766
449	452.8	8.31	34.59	12.3	0	0.0729
450	453.8	8.306	34.594	11.4	0	0.072
451	454.8	8.314	34.595	10.9	0	0.0733
452	455.8	8.304	34.595	11	0	0.0733
453	456.9	8.281	34.593	11.4	0	0.0727
454	457.9	8.242	34.592	11.5	0	0.072
455	458.9	8.229	34.594	11.5	0	0.0726
456	459.9	8.215	34.592	12.2	0	0.0733
457	460.9	8.183	34.587	13.4	0	0.0733
458	461.9	8.146	34.584	14.2	0	0.0733
459	462.9	8.128	34.581	14.9	0	0.0728
460	463.9	8.093	34.58	15.2	0	0.0733
461	464.9	8.085	34.579	15.4	0	0.0722
462	465.9	8.069	34.578	15.6	0	0.0743
463	466.9	8.05	34.576	15.8	0	0.0711
464	468.0	8.036	34.575	16.1	0	0.0762
465	469.0	8.024	34.574	16.2	0	0.0757
466	470.0	8.015	34.573	16.2	0	0.0749
467	471.0	7.998	34.572	16.6	0	0.0802
468	472.0	7.978	34.571	17.2	0	0.072
469	473.0	7.965	34.57	17.3	0	0.0723
470	474.0	7.956	34.57	17.2	0	0.0728
471	475.0	7.951	34.569	17.2	0	0.0727
472	476.0	7.927	34.568	17.2	0	0.0726
473	477.0	7.902	34.568	17.3	0	0.0699
474	478.1	7.883	34.567	17.8	0	0.0711
475	479.1	7.864	34.566	17.9	0	0.0733
476	480.1	7.844	34.566	17.8	0	0.0733
477	481.1	7.84	34.566	17.7	0	0.074
478	482.1	7.831	34.565	17.6	0	0.0729
479	483.1	7.812	34.564	17.8	0	0.0719
480	484.1	7.782	34.563	18.6	0	0.0719
481	485.1	7.764	34.562	19.2	0	0.0727
482	486.1	7.751	34.56	19.8	0	0.0733
483	487.1	7.735	34.559	20.8	0	0.0725
484	488.1	7.699	34.555	21.6	0	0.072
485	489.2	7.685	34.555	22.2	0	0.0704
486	490.2	7.68	34.554	22.2	0	0.0721
487	491.2	7.678	34.554	22	0	0.0722
488	492.2	7.677	34.554	21.8	0	0.0716
489	493.2	7.675	34.553	21.6	0	0.0725
490	494.2	7.671	34.553	21.7	0	0.0733
491	495.2	7.666	34.552	21.9	0	0.0827
492	496.2	7.649	34.55	22.6	0	0.0722
493	497.2	7.622	34.549	23.4	0	0.0715
494	498.2	7.604	34.548	23.8	0	0.0733
495	499.3	7.599	34.548	24	0	0.072
496	500.3	7.593	34.547	24	0	0.0733
497	501.3	7.582	34.546	23.9	0	0.0715
498	502.3	7.568	34.547	24	0	0.071
499	503.3	7.567	34.547	23.5	0	0.0737
500	504.3	7.564	34.547	23.3	0	0.072
501	505.3	7.553	34.546	23.5	0	0.072
502	506.3	7.537	34.547	22.9	0	0.0728
503	507.3	7.522	34.547	23.1	0	0.0718
504	508.3	7.506	34.546	23.3	0	0.0727
505	509.4	7.495	34.546	23.7	0	0.0716
506	510.4	7.489	34.545	24	0	0.0733
507	511.4	7.481	34.544	24.1	0	0.0726
508	512.4	7.463	34.544	24.4	0	0.0714
509	513.4	7.455	34.544	24.6	0	0.0715
510	514.4	7.451	34.543	24.6	0	0.0718
511	515.4	7.443	34.543	24.6	0	0.0716
512	516.4	7.43	34.542	24.6	0	0.0725
513	517.4	7.414	34.541	24.8	0	0.0768
514	518.4	7.408	34.542	24.8	0	0.0723
515	519.4	7.407	34.541	24.7	0	0.0728
516	520.5	7.406	34.541	24.9	0	0.072
517	521.5	7.397	34.541	24.9	0	0.0714
518	522.5	7.381	34.54	24.9	0	0.0726
519	523.5	7.371	34.54	25.2	0	0.0946
520	524.5	7.36	34.54	25.3	0	0.0739
521	525.5	7.342	34.538	25.7	0	0.0723
522	526.5	7.33	34.538	25.9	0	0.0724
523	527.5	7.323	34.539	25	0	0.0776
524	528.5	7.32	34.54	24.4	0	0.0722
525	529.5	7.319	34.54	24.3	0	0.0723
526	530.6	7.316	34.54	24.1	0	0.0728
527	531.6	7.31	34.54	24	0	0.0723
528	532.6	7.294	34.54	24.2	0	0.0719
529	533.6	7.281	34.54	24.5	0	0.077
530	534.6	7.277	34.54	24.5	0	0.0756
531	535.6	7.274	34.539	24.3	0	0.072
532	536.6	7.273	34.54	23.7	0	0.072
533	537.6	7.273	34.542	23.3	0	0.0756
534	538.6	7.251	34.54	23.5	0	0.0722
535	539.6	7.232	34.539	24.5	0	0.0722
536	540.6	7.212	34.537	25.3	0	0.0715
537	541.7	7.204	34.537	25.5	0	0.0714
538	542.7	7.196	34.536	25.7	0	0.0724
539	543.7	7.183	34.535	26.4	0	0.0713
540	544.7	7.164	34.532	27.1	0	0.0727
