Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-30:0,,12.04,,703.5346069,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-28:1,,3.54,,695.4676514,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-28:1,,3.54,,695.4676514,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-28:1,,3.54,,695.4676514,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-28:1,,3.54,,695.4676514,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-28:1,,3.53,,673.4871216,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-28:1,,3.53,,673.4871216,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-28:1,,3.53,,673.4871216,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-28:1,,3.53,,673.4871216,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-28:1,,3.54,,690.5117798,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-28:1,,3.54,,690.5117798,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-28:1,,3.54,,690.5117798,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-28:1,,3.54,,690.5117798,,111789763,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-24:0,,3.49,,641.4232788,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-24:0,,3.49,,641.4232788,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-24:0,,3.49,,641.4232788,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-24:0,,3.49,,641.4232788,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-24:0,,3.49,,641.4232788,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-24:0,,3.49,,641.4232788,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-24:0,,6.09,,619.4418945,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-24:0,,20.75,,636.4682617,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-24:0,,6.09,,619.4418945,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-24:0,,20.75,,636.4682617,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-24:0,,6.09,,619.4418945,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-24:0,,20.75,,636.4682617,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-24:0,,6.09,,619.4418945,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-24:0,,20.75,,636.4682617,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-24:0,,6.09,,619.4418945,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-24:0,,20.75,,636.4682617,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,16
MGDG-24:0,,6.09,,619.4418945,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,17
MGDG-24:0,,20.75,,636.4682617,,3202816,Linear,0.000, ,N/A,ng,N/A,ng,,,,18
MGDG-34:1,,0.92,,772.5915527,,3852977,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
